"","X","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating","Production"
"1511",1511,"Landscape Suicide","17 Sep 1987",0.000463,0,0,"Crime, Drama","7.5/10","175","James Benning",NA,"N/A"
"1512",1512,"How I Killed Mumblecore","30 May 2009",0.009382,0,0,"Drama",NA,"N/A","Brandon Hutchinson",NA,"N/A"
"1513",1513,"Vivah","10 Nov 2006",0.712106,10,4000000,"Drama, Family, Musical","6.6/10","7,318","Sooraj R. Barjatya",NA,"Rajshri Productions Pvt. Ltd."
"1515",1515,"One Percent More Humid","21 Apr 2017",0.318047,0,0,"Drama","8.0/10","10","Liz W. Garcia",NA,"N/A"
"1516",1516,"Algren","14 Oct 2014",0.028146,0,0,"Documentary, Biography, History","5.5/10","8","Michael Caplan",NA,"N/A"
"1517",1517,"3 Srikandi","'04/08/2016'",0.099174,0,0,"N/A","6.5/10","118","Iman Brotoseno",NA,"N/A"
"1519",1519,"The Arrangement","24 Dec 1969",0.153499,0,0,"Drama, Romance","6.6/10","2,004","Elia Kazan","14%","Warner Home Video"
"1520",1520,"John Doe: Vigilante","21 Mar 2014",0.368504,0,0,"Crime, Thriller","6.6/10","7,409","Kelly Dolen","40%","Main Street Films"
"1522",1522,"Danger Zone: The Making of 'Top Gun'","14 Dec 2004",0.003765,0,0,"Documentary","6.5/10","63","N/A",NA,"N/A"
"1523",1523,"Herzdamen","27 Dec 2006",0.010554,0,0,"Comedy","5.6/10","12","Karola Hattop",NA,"N/A"
"1524",1524,"The Miracle Man","26 Aug 1919",0.020775,0,0,"Drama","6.0/10","124","George Loane Tucker",NA,"N/A"
"1525",1525,"Carolina","29 Apr 2004",0.39855,0,0,"Comedy, Drama, Romance","6.2/10","3,692","Marleen Gorris",NA,"Miramax Films"
"1526",1526,"Serenade","23 Mar 1956",0.006912,0,0,"Drama, Music, Romance","5.9/10","352","Anthony Mann",NA,"Warner Bros."
"1527",1527,"Two Guns and a Badge","12 Sep 1954",0.066946,0,0,"Romance, Western","5.9/10","9","Lewis D. Collins",NA,"N/A"
"1528",1528,"VeggieTales: Merry Larry And The True Light Of Christmas","22 Oct 2013",0.036642,0,0,"Animation, Comedy, Family","6.7/10","30","N/A",NA,"Entertainment Rights"
"1529",1529,"ECW Hostile City Showdown '94","24 Jun 1994",0.001876,0,0,"Sport",NA,"N/A","N/A",NA,"N/A"
"1530",1530,"Absolute Power","14 Feb 1997",1.965513,50000000,50068310,"Action, Crime, Drama","6.7/10","42,172","Clint Eastwood","45%","Warner Home Video"
"1531",1531,"Sun Kissed","27 Mar 2008",0.04293,0,0,"Drama, Romance","4.4/10","346","Patrick McGuinn","17%","Wolfe Releasing"
"1532",1532,"Escapade","11 Dec 2014",0.267366,0,0,"Short, Drama","7.8/10","90","Gijs Blom",NA,"N/A"
"1534",1534,"The Wedding & Bebek Betutu","08 Oct 2015",0.084297,0,0,"Comedy",NA,"N/A","Hilman Mutasi",NA,"N/A"
"1536",1536,"Fist of Legends 2: Iron Bodyguards","'01/01/1996'",0.002073,0,0,"Action","4.6/10","77","Tung Man Chan, Robert Tai",NA,"Ground Zero"
"1537",1537,"Saatchi","'16/09/1983'",0,0,0,"Musical",NA,"N/A","S.A. Chandrashekhar",NA,"N/A"
"1538",1538,"Jaana Pehchana","16 Sep 2011",1e-06,0,0,"Drama","4.6/10","19","Sachin",NA,"N/A"
"1539",1539,"Zookeeper","08 Jul 2011",2.227265,80000000,169852759,"Comedy, Family, Romance","5.2/10","47,913","Frank Coraci","14%","Columbia Pictures"
"1540",1540,"Country Dance","12 Jun 2001",0.000323,0,0,"Comedy, Documentary",NA,"N/A","Julie Christie",NA,"N/A"
"1541",1541,"Disobedience","'04/05/2018'",0.882346,0,0,"N/A",NA,"N/A","N/A",NA,"N/A"
"1542",1542,"The Art of Murder","'01/10/1999'",0.284381,0,0,"Thriller","4.7/10","140","Ruben Preuss",NA,"Avalanche Entertainment"
"1543",1543,"Watchers 4: On the Edge","'27/08/2012'",0.022336,0,0,"Documentary","5.0/10","5","Richard Shaw",NA,"N/A"
"1544",1544,"I... Dreaming","01 Oct 1988",1e-06,0,0,"Short","6.0/10","499","Stan Brakhage",NA,"N/A"
"1545",1545,"Monochromia","06 Aug 2013",0.022589,0,0,"Comedy",NA,"N/A","Michael Legge",NA,"N/A"
"1546",1546,"Dance of My Life","01 Sep 2011",0.01125,0,0,"Documentary",NA,"N/A","Lyca Benitez-Brown",NA,"N/A"
"1547",1547,"Texas Gold","12 Nov 2005",0.010414,0,0,"Documentary, Short","8.6/10","5","Carolyn M. Scott",NA,"N/A"
"1548",1548,"Odor-Able Kitty","06 Jan 1945",0.0097,0,0,"Animation, Short, Comedy","7.1/10","379","Chuck Jones",NA,"N/A"
"1549",1549,"Lying in Wait","17 Dec 2002",0.005237,0,0,"Drama, Thriller","4.8/10","372","D. Shone Kirkpatrick",NA,"Itasca Pictures"
"1550",1550,"On Tiptoe: Gentle Steps to Freedom","'01/01/2000'",0.008765,0,0,"Short, Documentary, Music","7.2/10","13","Eric Simonson",NA,"N/A"
"1551",1551,"Shankaranum Mohananum","10 Jun 2011",0.272673,0,0,"Comedy","3.8/10","22","T.V. Chandran",NA,"N/A"
"1552",1552,"Rosie","18 Nov 1998",0.002367,0,0,"Drama","7.3/10","517","Patrice Toye","67%","Canal Plus"
"1553",1553,"Midnight Temptations","'01/01/1995'",0.002889,0,0,"Thriller","3.4/10","85","Rafe M. Portilo",NA,"N/A"
"1554",1554,"Human Weapon","20 Jul 2007",0.005625,0,0,"Documentary, Drama, Sport","8.4/10","751","N/A",NA,NA
"1555",1555,"Gringuito","09 Apr 1998",0.002814,0,0,"N/A","6.3/10","204","Sergio M. Castilla",NA,"N/A"
"1556",1556,"Journey into Light","25 Aug 1952",0.040597,0,0,"Drama","7.0/10","40","Stuart Heisler",NA,"N/A"
"1557",1557,"The Man Who Shot Chinatown: The Life and Work of John A. Alonzo","15 Nov 2007",0.012066,0,0,"Documentary, Biography","6.3/10","70","Axel Schill",NA,"N/A"
"1558",1558,"Sensoria","22 Jan 2016",0.370643,0,0,"Drama, Horror, Thriller","4.3/10","377","Christian Hallman",NA,"N/A"
"1559",1559,"Worm","08 Mar 2013",0.026328,0,0,"Drama","7.4/10","68","Andrew Bowser",NA,"N/A"
"1561",1561,"Pig","02 Jul 2015",0.009412,0,0,"Drama, Mystery, Sci-Fi","5.8/10","500","Henry Barrial",NA,"Kino Lorber"
"1562",1562,"13 Factors That Saved Apollo 13","13 Apr 2014",0.055898,0,0,"Documentary","7.3/10","9","Elliot Weaver, Zander Weaver",NA,"N/A"
"1563",1563,"Ganga Bruta","29 May 1933",0.003399,0,0,"Drama","7.2/10","209","Humberto Mauro",NA,"N/A"
"1564",1564,"The Speedway Parade","01 May 1902",0.001875,0,0,"Documentary, Short","3.6/10","19","N/A",NA,"N/A"
"1565",1565,"Embrace the Darkness III","'17/09/2002'",0.039711,0,0,"Short",NA,"N/A","N/A",NA,"N/A"
"1567",1567,"A and B in Ontario","'01/01/1984'",0.002099,0,0,"Short","7.8/10","22","Hollis Frampton, Joyce Wieland",NA,"N/A"
"1568",1568,"Tiffin","01 Oct 2007",0.005625,0,0,"Short, Drama",NA,"N/A","Ai Lene Chor",NA,"N/A"
"1569",1569,"Renee XIV","'01/01/1946'",0.002819,0,0,"N/A","5.4/10","5","Ákos Ráthonyi",NA,"N/A"
"1570",1570,"The Emerald City of Oz","'01/01/1987'",0.448479,0,0,"Animation, Adventure, Family","7.5/10","31","Tim Reid",NA,"CINAR Corporation"
"1572",1572,"Gone But Not Forgotten","09 Apr 2005",0.096179,0,0,"Crime, Drama, Mystery","6.1/10","441","Armand Mastroianni",NA,"Hallmark Entertainment"
"1573",1573,"High Spirits","18 Nov 1988",0.724193,0,7399763,"Comedy, Fantasy","5.7/10","6,869","Neil Jordan","17%","Media Home Entertainment"
"1575",1575,"Thank You and Good Night","29 Jan 1992",0,0,0,"Documentary","8.1/10","39","Jan Oxenberg",NA,"American Playhouse Theatrical Films"
"1576",1576,"Pee-wee's Big Holiday","18 Mar 2016",0.85329,0,0,"Adventure, Comedy","6.2/10","5,172","John Lee","63/100","N/A"
"1577",1577,"Sha jian O niang","'02/06/1995'",0.006592,0,0,"Horror",NA,"N/A","Ka-Chi Lok",NA,"N/A"
"1578",1578,"Elstree Calling","29 Sep 1930",0.137663,0,0,"Comedy, Musical","5.8/10","214","André Charlot, Jack Hulbert, Paul Murray, Alfred Hitchcock",NA,"N/A"
"1580",1580,"Vital Signs","13 Apr 1990",0.038232,0,0,"Drama","5.4/10","596","Marisa Silver","50%","20th Century Fox Film Corporation"
"1581",1581,"Dort wo der Rhein...","'09/08/1927'",0.004314,0,0,"Animation, Short","6.1/10","15","Walter Ruttmann",NA,"N/A"
"1583",1583,"De sangre chicana","05 Sep 1974",0.003742,0,0,"Action, Crime, Drama","4.7/10","7","Joselito Rodríguez",NA,"N/A"
"1584",1584,"Mister Rogers & Me","'20/03/2010'",0.023732,0,0,"Documentary","7.8/10","62","Benjamin Wagner",NA,"Wagner Bros."
"1585",1585,"Trapped!","'01/01/1994'",0.006956,0,0,"Thriller","3.9/10","176","Rex Piano",NA,"N/A"
"1586",1586,"Cabra-Cega","08 Apr 2005",0.004147,0,0,"Drama","6.3/10","208","Toni Venturi",NA,"N/A"
"1587",1587,"Sieranevada","03 Aug 2016",0.573699,1488410,0,"Comedy, Drama, Family","7.7/10","2,302","Cristi Puiu","91%","N/A"
"1588",1588,"Ruth Etting in Favorite Melodies","16 Mar 1929",0.015957,0,0,"Short, Music","6.7/10","24","Joseph Santley",NA,"N/A"
"1590",1590,"The Wife","16 Aug 1996",0.00209,0,0,"Comedy, Drama","6.3/10","269","Tom Noonan",NA,"New Video Group"
"1591",1591,"Darna","04 Apr 2005",0.002078,0,0,"Action, Drama, Fantasy","6.3/10","35","N/A",NA,NA
"1592",1592,"The Sign on the Door","01 May 1921",0.005761,0,0,"Drama","4.0/10","13","Herbert Brenon",NA,"N/A"
"1593",1593,"Happy B-Day","10 Oct 2014",0.019259,0,0,"Short, Comedy, Horror","6.4/10","28","Holger Frick",NA,"N/A"
"1594",1594,"Mouse Meets Bird","15 Nov 1952",0.002828,0,0,"Animation, Short",NA,"N/A","Connie Rasinski",NA,"N/A"
"1595",1595,"In the Company of Women","01 Jan 2004",0.056076,0,0,"Documentary","6.6/10","50","Lesli Klainberg, Gini Reticker",NA,"IFC Films"
"1596",1596,"Return to Oldfield: Making from a Whisper to a Scream","28 Apr 2015",3.2e-05,0,0,"Documentary",NA,"N/A","Daniel Griffith",NA,"N/A"
"1597",1597,"Les Anarchistes","11 Nov 2015",0.331172,0,0,"Drama","5.8/10","591","Elie Wajeman",NA,"N/A"
"1599",1599,"Lilla syster Kanin","26 Oct 1991",8e-06,0,0,"Animation, Short","8.0/10","5","Eva Eriksson, Jan Gustavsson",NA,"N/A"
"1600",1600,"Olive","16 Dec 2011",NA,0,0,"Family","6.3/10","59","Patrick Gilles, Hooman Khalili",NA,"N/A"
"1601",1601,"Ask","31 Jan 1973",0,0,0,"Comedy","6.8/10","33,298","Woody Allen","90%","United Artists"
"1603",1603,"G","25 Feb 1983",NA,0,0,"Drama, Music","5.3/10","1,016","Staffan Hildebrand",NA,"N/A"
"1604",1604,"Ang Tanging Pamilya (A Marry-Go-Round!)","11 Nov 2009",0.179829,0,0,"Comedy","5.8/10","24","Wenn V. Deramas",NA,"N/A"
"1605",1605,"Primary Motive","02 Aug 1992",0.007955,0,0,"Thriller","6.1/10","52","Daniel Adams",NA,"Blossom Pictures"
"1606",1606,"Notes for a Film About Donna & Gail","'01/01/1966'",0.001888,0,0,"Drama","6.9/10","14","Don Owen",NA,"N/A"
"1607",1607,"The Last Outlaw","30 Oct 1993",0.00195,0,0,"Western","6.4/10","1,729","Geoff Murphy",NA,"Davis Entertainment"
"1609",1609,"Society for Sale","21 Apr 1918",0.001969,0,0,"Drama","6.0/10","5","Frank Borzage",NA,"N/A"
"1610",1610,"Joan Does Dynasty","'01/01/1986'",0.35,0,0,"Documentary, Short","3.5/10","42","Joan Braderman, Manuel De Landa",NA,"N/A"
"1611",1611,"The Love Affair","12 Aug 2015",0.065281,0,0,"Drama, Romance","5.8/10","121","Nuel C. Naval",NA,"N/A"
"1612",1612,"The Dressmaker","29 Oct 2015",0.449099,0,0,"Comedy, Drama","7.1/10","35,280","Jocelyn Moorhouse","55%","Amazon Studios & Broad Green Pictures"
"1613",1613,"Und wenn sie nicht gestorben sind... Die Kinder von Golzow - Das Ende der unendlichen Geschichte","23 Mar 2006",0.012297,0,0,"Documentary","8.3/10","34","Barbara Junge, Winfried Junge",NA,"N/A"
"1614",1614,"The Men Who Killed Kennedy","27 Sep 1991",0,0,0,"Documentary, History","8.6/10","463","N/A",NA,NA
"1616",1616,"Mutant Massacre","'15/06/1991'",0,0,0,"Sci-Fi","5.8/10","11","Carl J. Sukenick",NA,"N/A"
"1617",1617,"Blues","20 Jun 1980",0.068234,0,0,"Action, Comedy, Crime","7.9/10","152,652","John Landis","85%","Universal Pictures"
"1618",1618,"Jon Lovitz Presents","23 Apr 2011",0.021806,0,0,"Comedy","6.4/10","7","Scott L. Montoya",NA,"N/A"
"1619",1619,"Oru Thayin Sabhatham","'14/04/1987'",0.000924,0,0,"N/A",NA,"N/A","Thesingu Rajendar",NA,"N/A"
"1620",1620,"Taste","01 Jun 1989",2e-06,0,0,"Comedy, Horror, Sci-Fi","6.7/10","38,241","Peter Jackson","68%","WingNut Films"
"1621",1621,"James McNeill Whistler and the Case for Beauty","01 Sep 2014",0.039554,0,0,"N/A","6.7/10","6","Norman Stone",NA,"N/A"
"1622",1622,"Affliction","19 Feb 1999",0.054855,0,0,"Drama, Mystery, Thriller","7.0/10","12,551","Paul Schrader","88%","Lions Gate"
"1623",1623,"Call Her Sausage","13 May 1933",0.001885,0,0,"Short, Comedy, Music","4.3/10","15","Gus Meins",NA,"N/A"
"1624",1624,"Pigs","05 Nov 2007",0,0,0,"Comedy","4.7/10","3,264","Karl DiPelino",NA,"ThinkFilm Inc."
"1625",1625,"Birdman of Alcatraz","15 Sep 1962",1.272293,2650000,3100000,"Biography, Crime, Drama","7.8/10","13,084","John Frankenheimer, Charles Crichton","82%","MGM Home Entertainment"
"1627",1627,"Touched","13 Jun 2006",0.204195,0,0,"Drama, Romance","5.9/10","407","Timothy Scott Bogart",NA,"First Look Pictures"
"1628",1628,"Sit Tight","28 Feb 1931",0.184752,0,0,"Comedy","5.4/10","94","Lloyd Bacon",NA,"Warner Bros."
"1629",1629,"Wake Up!","11 Aug 2013",0.001535,200,0,"Short","6.5/10","54","Daniel Ruczko",NA,"N/A"
"1630",1630,"Malee and the Boy","28 Sep 2003",0.004422,0,0,"Short, Documentary","6.2/10","6","Apichatpong Weerasethakul",NA,"N/A"
"1631",1631,"All You've Got","23 May 2006",0.181706,0,0,"Drama, Sport","4.5/10","1,072","Neema Barnette",NA,"MTV Networks"
"1632",1632,"The Devil's Needle","13 Aug 1916",0.01049,0,0,"Drama","7.2/10","87","Chester Withey",NA,"N/A"
"1633",1633,"Film Geek","28 Jan 2005",0.072006,0,0,"Comedy","6.2/10","1,021","James Westby","64%","First Run Features"
"1634",1634,"Bluefin on the Line","14 Apr 2014",0.016875,0,0,"Documentary, Short",NA,"N/A","Bradley Beesley",NA,"N/A"
"1635",1635,"Invisible Children","26 Aug 2006",0.008475,0,0,"Documentary","8.1/10","532","N/A",NA,"N/A"
"1636",1636,"Glanz & Gloria","31 May 2012",0.025811,0,0,"Comedy, Music","5.8/10","111","Andreas Coupon",NA,"N/A"
"1639",1639,"UFC: The Ultimate 100 Knockouts","26 Dec 2012",0.289683,0,0,"Documentary",NA,"N/A","N/A",NA,"N/A"
"1641",1641,"Alias Nick Beal","04 Mar 1949",0.024372,0,0,"Drama, Film-Noir, Mystery","7.3/10","515","John Farrow",NA,"Paramount Pictures International"
"1642",1642,"The Scream","05 Mar 2009",0.013125,0,0,"Comedy, Horror","5.3/10","18","Rick Schiaffo",NA,"N/A"
"1643",1643,"Big Time","06 Jan 1989",1.229298,0,0,"Documentary, Music","8.3/10","624","Chris Blum",NA,"Island Pictures"
"1645",1645,"The Usual Suspects","15 Sep 1995",11.475297,6000000,23341568,"Crime, Drama, Mystery","8.6/10","807,547","Bryan Singer","88%","Gramercy Pictures"
"1646",1646,"Boyfriends","14 Feb 1997",0.161334,0,0,"Comedy","5.8/10","375","Tom Hunsinger, Neil Hunter",NA,"N/A"
"1647",1647,"Wicked Desire","10 Apr 2008",0.008294,0,0,"Short, Drama","7.0/10","15","Angela Cheng",NA,"N/A"
"1648",1648,"Segurista","07 Sep 1996",0.420465,0,0,"Drama","7.2/10","56","Tikoy Aguiluz",NA,"N/A"
"1649",1649,"O Luto","12 Feb 1992",0.144279,0,0,"N/A",NA,"N/A","Artur Ramos",NA,"N/A"
"1650",1650,"Dead Women in Lingerie","'01/01/1991'",0.342077,0,0,"Crime","4.6/10","112","Erica Fox",NA,"MTI Home Video"
"1651",1651,"Two of a Kind","16 Dec 1983",0.466425,0,23646952,"Comedy, Fantasy, Romance","4.7/10","3,281","John Herzfeld","20%","20th Century Fox Film Corporation"
"1652",1652,"The Corruptor","12 Mar 1999",3.084993,25000000,15156200,"Action, Crime, Drama","6.0/10","15,890","James Foley","49%","New Line Home Entertainment"
"1653",1653,"Selam: Bahara Yolculuk","13 Mar 2015",0.201392,500000,500001,"Biography, Drama, History","8.5/10","3,923","Hamdi Alkan",NA,"N/A"
"1656",1656,"Margot at the Wedding","14 Dec 2007",1.325373,10000000,0,"Comedy, Drama","6.1/10","16,161","Noah Baumbach","52%","Paramount Vantage"
"1657",1657,"Ak","'11/09/2014'",NA,0,0,"Short, Drama, War",NA,"N/A","Michael Chandler",NA,"N/A"
"1658",1658,"Ettekal Second","28 Feb 2014",0.025007,0,0,"Drama, Romance",NA,"N/A","Kanakaraghavan",NA,"N/A"
"1659",1659,"Ladies First","02 Oct 2014",0.002762,0,0,"Romance","3.8/10","8","Ashok Mehta",NA,"N/A"
"1660",1660,"Apartment Hunting","'01/01/2000'",0.002864,0,0,"Comedy, Romance","5.9/10","56","Bill Robertson",NA,"N/A"
"1661",1661,"Hong qiang dao ying","20 Apr 2000",0.002548,0,0,"N/A","4.6/10","8","Phillip Ko",NA,"N/A"
"1662",1662,"Honky Tonk","01 Oct 1941",0.020987,0,0,"Comedy, Crime, Drama","6.6/10","741","Jack Conway",NA,"Unknown"
"1663",1663,"Owly to Bed","02 Jan 1959",0.003179,0,0,"Animation, Short","5.3/10","7","Seymour Kneitel",NA,"N/A"
"1664",1664,"The Informers","24 Apr 2009",0.220242,0,0,"Crime, Drama, Thriller","5.1/10","14,713","Gregor Jordan","13%","Senator International"
"1665",1665,"Godkiller: Walk Among Us","16 Apr 2010",0.165353,0,0,"Animation, Sci-Fi","5.6/10","346","Matt Pizzolo",NA,"Halo-8 Entertainment"
"1666",1666,"Prodigal","01 Sep 2011",0.070078,60000,0,"Short, Sci-Fi","7.3/10","48","Benjamin Grayson",NA,"N/A"
"1667",1667,"Dandanko","'01/01/1960'",0.003422,0,0,"Short","6.9/10","47","Akira Hirata, Nobuhiko Ôbayashi",NA,"N/A"
"1668",1668,"Great World of Sound","30 Mar 2007",0.006527,0,0,"Comedy, Drama, Music","6.7/10","1,011","Craig Zobel","80%","Magnolia Pictures"
"1670",1670,"Candy.","28 Apr 2006",0.00962,0,0,"Crime, Drama, Thriller","7.1/10","138,218","David Slade","68%","Lions Gate Films"
"1671",1671,"Unschooled: Save Our Future","02 Apr 2013",0.0075,0,0,"Documentary, Biography, Drama",NA,"N/A","Janine Foster, Stephanie Young",NA,"N/A"
"1672",1672,"Suspenso en comunismo","23 Jan 1956",0.002901,0,0,"Comedy","2.1/10","11","Eduardo Manzanos Brochero",NA,"N/A"
"1673",1673,"Zaza","21 Oct 1923",0.424236,0,0,"Romance, Drama","8.2/10","627","Allan Dwan",NA,"N/A"
"1676",1676,"Doll Boy","01 Oct 2010",0.020786,0,0,"Short, Action, Horror","7.6/10","51","Billy 'Bloody Bill' Pon",NA,"N/A"
"1679",1679,"Icetime","15 Sep 1991",0.000749,0,0,"Family, Short",NA,"N/A","John G. Stuart",NA,"N/A"
"1680",1680,"Backlash","11 Apr 1956",0.003473,0,0,"Mystery, Romance, Western","6.6/10","1,011","John Sturges",NA,"Universal"
"1681",1681,"Arthur Christmas","23 Nov 2011",1.719411,0,0,"Animation, Adventure, Comedy","7.1/10","39,015","Sarah Smith, Barry Cook(co-director)","92%","Sony Pictures"
"1682",1682,"Lo contrario al amor","26 Aug 2011",0.020799,0,0,"Comedy","5.5/10","610","Vicente Villanueva",NA,"Sony Pictures"
"1683",1683,"Glass Love","21 Mar 2004",0.005625,0,0,"Sport","4.7/10","10","Andrew Kidman",NA,"N/A"
"1684",1684,"Dealers in Death","'10/11/1984'",6e-06,0,0,"Documentary","6.1/10","30","John McNaughton",NA,"N/A"
"1687",1687,"Tadap: The Desire","30 Jul 2004",0.00375,0,0,"Crime, Drama, Thriller",NA,"N/A","Mohammad Farooq",NA,"N/A"
"1688",1688,"100 Ghost Street: The Return of Richard Speck","24 Jul 2012",0.315284,150,0,"Horror","4.0/10","831","Martin Wichmann",NA,"N/A"
"1689",1689,"The Passage","26 Feb 1979",0.188879,0,0,"Action, Drama, War","6.2/10","1,076","J. Lee Thompson",NA,"United Artists"
"1690",1690,"Proper Binge","04 Dec 2015",0.04875,0,0,"Comedy, Drama",NA,"N/A","Michael Burns, Dean Q. Mitchell",NA,"N/A"
"1691",1691,"Slow Glass","'02/01/1991'",1e-06,0,0,"Short","7.3/10","16","John Smith",NA,"N/A"
"1692",1692,"The B","11 Apr 2012",0.009375,0,0,"Comedy","7.3/10","27,886","N/A",NA,NA
"1693",1693,"Ringo at the Ryman","26 Mar 2013",0.229545,0,0,"Music",NA,"N/A","Brent Carpenter",NA,"N/A"
"1694",1694,"You Gotta Be Crazy!","19 Sep 1986",4e-04,0,0,"Comedy",NA,"N/A","Emil Nofal, Dirk de Villiers",NA,"N/A"
"1696",1696,"Hot Summer Nights","14 Mar 2017",0.621135,0,0,"Drama","8.5/10","52","Elijah Bynum",NA,"N/A"
"1697",1697,"Bodyguard","31 Aug 2011",0.049037,0,0,"Action, Romance","4.6/10","17,948","Siddique","41/100","N/A"
"1698",1698,"Dian xin huang hou","08 Jan 1965",0.002063,0,0,"Comedy",NA,"N/A","Kangshi Mu",NA,"N/A"
"1699",1699,"Live Cargo","31 Mar 2017",0.371013,0,0,"Drama, Thriller","6.6/10","820","Logan Sandler","56/100","N/A"
"1701",1701,"Dexys: Nowhere is Home","09 May 2014",0.024375,0,0,"Documentary","7.6/10","11","Kieran Evans, Paul Kelly",NA,"N/A"
"1702",1702,"I Can't Escape","05 Jul 1934",0.002979,0,0,"Crime, Drama","6.2/10","34","Otto Brower",NA,"Beacon Productions"
"1703",1703,"Make Believe","13 May 2011",0.014062,0,0,"Documentary","7.1/10","376","Clay Tweel","85%","Firefly Inc./Level 22"
"1704",1704,"Barefoot in the Park","25 May 1967",1.051506,0,0,"Comedy, Romance","7.0/10","11,812","Gene Saks","87%","Paramount Home Video"
"1705",1705,"The Aerial Submarine","01 Nov 1910",0.004302,0,0,"Short, Adventure, Fantasy",NA,"N/A","Walter R. Booth",NA,"N/A"
"1706",1706,"Linda/Les and Annie","'25/03/1989'",8e-06,0,0,"Documentary, Short, Adult","7.0/10","11","Johnny Armstrong, Albert Jaccoma, Annie Sprinkle",NA,"N/A"
"1707",1707,"Suntok sa Buwan","25 Jan 2012",0.109155,0,0,"Drama, Sport",NA,"N/A","Bianca Catbagan, Jose Antonio de Rivera",NA,"N/A"
"1708",1708,"Prema Kanuka","27 Jun 1981",0,0,0,"N/A","2.8/10","19","K. Raghavendra Rao",NA,"N/A"
"1709",1709,"Dark Hearts","29 Apr 2014",0.032998,0,0,"Drama, Thriller","4.5/10","303","Rudolf Buitendach",NA,"N/A"
"1710",1710,"Mokhtar","14 Sep 2010",0.001875,0,0,"Short, Drama, Family","7.5/10","28","Halima Ouardiri",NA,"N/A"
"1711",1711,"The Goal Rush","03 Oct 1932",0.015357,0,0,"Animation, Short, Comedy","5.6/10","42","Ub Iwerks",NA,"N/A"
"1712",1712,"Our Miss Fred","14 Dec 1972",0.00575,0,0,"Comedy, War","6.8/10","73","Bob Kellett",NA,"N/A"
"1713",1713,"Wish For Christmas","01 Nov 2016",0.10517,0,0,"Drama, Family","7.8/10","479","John K.D. Graham",NA,"Mustard Seed Entertainment"
"1715",1715,"The Treehouse","12 Oct 2012",0.000102,0,0,"Short, Adventure, Drama","8.2/10","26","Sam Shapson, A.J. Sheeran",NA,"N/A"
"1716",1716,"The Adventures of the Spirit","'01/01/1963'",0.001923,0,0,"Action, Adventure, Horror",NA,"N/A","N/A",NA,"N/A"
"1717",1717,"Parrotville Old Folks","25 Jan 1935",0.003638,0,0,"Animation, Short","4.2/10","35","Burt Gillett, Tom Palmer",NA,"N/A"
"1718",1718,"Double Happiness","28 Jul 1995",0.022533,0,0,"Drama, Romance","7.2/10","953","Mina Shum","70%","First Generation"
"1719",1719,"Bruce Lee - The Intercepting Fist","23 Jul 1999",0.004235,0,0,"Documentary",NA,"N/A","Walt Missingham",NA,"N/A"
"1720",1720,"Lord Stanley's Cup: Hockey's Ultimate Prize","'25/11/2003'",0.013995,0,0,"Documentary, Sport","6.9/10","68","N/A",NA,"N/A"
"1721",1721,"Chor Ho To Aisa","'11/12/1978'",0,0,0,"N/A","5.2/10","6","Ravi Tandon",NA,"N/A"
"1723",1723,"The Master Beater","31 Jul 1969",0.004266,0,0,"N/A",NA,"N/A","Charles Carmello",NA,"N/A"
"1724",1724,"Last Resort","'17/12/1996'",0.002711,0,0,"Action, Drama, Mystery","7.4/10","19,755","N/A",NA,NA
"1725",1725,"Alumbrones","12 Sep 2014",0.028168,0,0,"Documentary, Biography, History","9.2/10","5","Bruce Donnelly","83%","Candy Factory"
"1726",1726,"Emilio Varela vs Camelia la Texana","28 Nov 1980",0.00162,0,0,"Action, Crime, Drama",NA,"N/A","Rafael Portillo",NA,"N/A"
"1727",1727,"No Holds Barred","02 Jun 1989",0.039203,0,0,"Action, Sport","4.3/10","4,944","Thomas J. Wright","11%","Sony Pictures Home Entertainment"
"1728",1728,"O Milagre de Santo Antonio","08 Jul 2012",0.036725,0,0,"Documentary, Short","5.8/10","12","Sergey Loznitsa",NA,"N/A"
"1729",1729,"Limbo","07 Jul 1999",0.218241,0,0,"Adventure, Drama, Thriller","7.1/10","5,267","John Sayles","72%","Sony"
"1730",1730,"Mahogany","25 Mar 1976",0.004237,0,0,"Drama, Romance","6.1/10","1,313","Berry Gordy, Tony Richardson, Jack Wormser","23%","Paramount Pictures"
"1732",1732,"Chojin densetsu Urotsukidoji V: Kanketsu Hen","28 Dec 1996",0.149673,0,0,"Animation, Horror","6.1/10","33","N/A",NA,"N/A"
"1733",1733,"Visions...","10 Oct 1972",0.003708,0,0,"Drama","6.9/10","38","Lee H. Katzin",NA,"N/A"
"1734",1734,"Tower of Fire","28 May 1953",0.05,0,0,"History",NA,"N/A","Giorgio Walter Chili",NA,"N/A"
"1735",1735,"The Influence of Ocular Light Perception on Metabolism in Man and in Animal","'01/01/2005'",0.003753,0,0,"Short","6.5/10","11","Thomas Draschan",NA,"N/A"
"1736",1736,"Anubhav","19 Dec 1986",0.000351,0,0,"Comedy, Drama","6.5/10","147","Kashinath",NA,"N/A"
"1738",1738,"Conclusions","'21/10/2014'",0.028125,0,0,"Short, Drama",NA,"N/A","Alejandro Fridman",NA,"N/A"
